File,Result
D:/Movies\2022\Detectorists (2022).mkv,No movie found
D:/Movies\2023\Try Mushketery D'artanʹyan (2023).mkv,No movie found
D:/Movies\UKR\Batʹko (2023).mkv,No movie found
D:/Movies\UKR\Iz Zavyazanymy Ochyma (2020).mkv,No movie found
D:/Movies\UKR\Такі красиві люди.mp4,No regexp
D:/Movies\бачив\Fantastic Beasts. Collection (2016-2024) BDRip 1080p H.265 [UKR_ENG] [Hurtom]\[01] Fantastic Beasts And Where To Find Them (2016).mkv,No movie found
D:/Movies\бачив\Fantastic Beasts. Collection (2016-2024) BDRip 1080p H.265 [UKR_ENG] [Hurtom]\[02] Fantastic Beasts The Crimes Of Grindelwald (2018).mkv,No movie found
D:/Movies\бачив\Fantastic Beasts. Collection (2016-2024) BDRip 1080p H.265 [UKR_ENG] [Hurtom]\[03] Fantastic Beasts The Secrets Of Dumbledore (2022).mkv,No movie found
D:/Movies\бачив\Harry Potter\[01 2] Harry Potter And The Sorcerer's Stone (2001).mkv,No movie found
D:/Movies\бачив\Harry Potter\[02 2] Harry Potter And The Chamber Of Secrets (2002).mkv,No movie found
D:/Movies\бачив\Harry Potter\[03] Harry Potter And The Prisoner Of Azkaban (2004).mkv,No movie found
D:/Movies\бачив\Harry Potter\[04] Harry Potter And The Goblet Of Fire (2005).mkv,No movie found
D:/Movies\бачив\Harry Potter\[05] Harry Potter And The Order Of The Phoenix (2007).mkv,No movie found
D:/Movies\бачив\Harry Potter\[06] Harry Potter And The Half-blood Prince (2009).mkv,No movie found
D:/Movies\бачив\Harry Potter\[07] Harry Potter And The Deathly Hallows Part 1 (2010).mkv,No movie found
D:/Movies\бачив\Harry Potter\[08] Harry Potter And The Deathly Hallows Part 2 (2011).mkv,No movie found
/2tb/Download2/Movies/Sexual.Chronicles.of.a.French.Family.2012.Uncut.720p.DD5.1.x264.mkv,No regexp
/2tb/Download2/Movies/The.Wizard.of.Lies.2017.BDRip-AVC.Ukr.Eng.DontStopProd.mkv,No regexp
/2tb/Download2/Movies/The.Wizard.of.Lies.2017.HDTVRip.720p.x264-RUS-ENG-lrn.mkv,No regexp
